epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9768,1.23714,1.51912,1.54008,0.95656,0.89581,0.95719,0.64492,1.17444,0.77976,1.49883,0.0700867,0.0033237,0.0033237
2,97.906,1.10654,0.91168,1.40437,0.90729,0.86255,0.93337,0.69425,0.95606,0.71987,1.40688,0.0399549,0.00652522,0.00652522
3,145.102,1.11818,0.88853,1.42346,0.70746,0.74189,0.77968,0.4997,1.38868,1.15053,1.95149,0.00969109,0.00959475,0.00959475
4,192.202,1.15365,0.88586,1.44294,0.95145,0.89676,0.96222,0.70639,1.02976,0.70637,1.47243,0.009406,0.009406,0.009406
5,240.598,1.08524,0.81424,1.40751,0.9236,0.88111,0.94435,0.70629,1.00057,0.70291,1.44621,0.009208,0.009208,0.009208
6,306.336,1.05897,0.75277,1.38016,0.96573,0.89831,0.95176,0.73573,0.93531,0.56105,1.41502,0.00901,0.00901,0.00901
7,363.928,1.00646,0.70798,1.34219,0.96216,0.94806,0.9779,0.77013,0.83181,0.4648,1.29255,0.008812,0.008812,0.008812
8,429.256,0.99593,0.68652,1.33723,0.9862,0.95254,0.98528,0.77091,0.85408,0.47949,1.31271,0.008614,0.008614,0.008614
9,488.271,0.97254,0.66723,1.31961,0.97519,0.93265,0.98074,0.77069,0.8369,0.46719,1.29337,0.008416,0.008416,0.008416
